"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44096","Given User open the retirement calculator page","","Sat Aug 31 20:32:30 IST 2024","passed","Sat Aug 31 20:33:14 IST 2024","","retirement saving calculator page: Calculate retirement needs without social security income","",""
"","4018","Given User open the retirement calculator page","","Thu Aug 29 20:00:47 IST 2024","passed","Thu Aug 29 20:00:51 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","980","When I login with tomsmith and SuperSecretPassword!","","Thu Aug 29 20:00:35 IST 2024","passed","Thu Aug 29 20:00:36 IST 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1459","When user should enter the ""user2""","","Thu Aug 29 21:13:45 IST 2024","passed","Thu Aug 29 21:13:47 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","1619","When user should enter the retirement data ""45"", ""65"", ""400"", ""25000"", ""25"", ""6""","","Thu Aug 29 17:53:31 IST 2024","passed","Thu Aug 29 17:53:32 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","1","hook:","","Thu Aug 29 20:00:47 IST 2024","failed","Thu Aug 29 20:00:47 IST 2024","","","",""
"","0","hook:","","Sat Aug 31 20:33:45 IST 2024","failed","Sat Aug 31 20:33:45 IST 2024","","","",""
"","1407","Then user should see the estimated retirement needs","","Sat Aug 31 20:41:25 IST 2024","passed","Sat Aug 31 20:41:27 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status people","",""
"","3","Then user should the enter the Social Security override amount","","Sat Aug 31 20:33:34 IST 2024","passed","Sat Aug 31 20:33:34 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","171","When user should enter the ""validUser""","","Thu Aug 29 21:01:31 IST 2024","broken","Thu Aug 29 21:01:31 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","3887","And user submit the form","","Thu Aug 29 18:29:32 IST 2024","passed","Thu Aug 29 18:29:36 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","4038","When user should enter the ""invalideage""","","Fri Aug 30 00:10:49 IST 2024","passed","Fri Aug 30 00:10:53 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","2340","When user should enter the ""validuser1""","","Sat Aug 31 20:40:17 IST 2024","passed","Sat Aug 31 20:40:19 IST 2024","","retirement saving calculator page: Calculate retirement needs without maritial status and social security income","",""
"","2642","Given User open the retirement calculator page","","Sat Aug 31 20:41:19 IST 2024","passed","Sat Aug 31 20:41:22 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status people","",""
"","1270","When user should enter the retirement data ""45"", ""65"", ""40000"", ""25000"", ""25"", ""6""","","Thu Aug 29 17:34:13 IST 2024","passed","Thu Aug 29 17:34:14 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","52","Then user should see the estimated retirement needs","","Sat Aug 31 20:33:16 IST 2024","passed","Sat Aug 31 20:33:16 IST 2024","","retirement saving calculator page: Calculate retirement needs without social security income","",""
"","167","Then user can able to see the error messages in current age and ritrement age filed","","Thu Aug 29 18:29:36 IST 2024","passed","Thu Aug 29 18:29:36 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","1","When user should enter the ""user3""","","Fri Aug 30 13:01:14 IST 2024","skipped","Fri Aug 30 13:01:14 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","23243","Given User open the retirement calculator page","","Sat Aug 31 20:40:51 IST 2024","passed","Sat Aug 31 20:41:14 IST 2024","","retirement saving calculator page: Calculate retirement needs with maritial status and social security income","",""
"","2118","When user should enter the ""validuser3""","","Sat Aug 31 20:41:22 IST 2024","passed","Sat Aug 31 20:41:24 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status people","",""
"","1","hook:","","Sat Aug 31 20:41:27 IST 2024","failed","Sat Aug 31 20:41:27 IST 2024","","","",""
"","4","Then user should the enter the Social Security override amount","","Sat Aug 31 20:41:24 IST 2024","passed","Sat Aug 31 20:41:24 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status people","",""
"","1","hook:","","Sat Aug 31 20:41:19 IST 2024","failed","Sat Aug 31 20:41:19 IST 2024","","","",""
"","4030","And user submit the form","","Thu Aug 29 18:29:20 IST 2024","passed","Thu Aug 29 18:29:25 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","5101","And user submit the form","","Thu Aug 29 20:00:52 IST 2024","passed","Thu Aug 29 20:00:57 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","3","When user should enter the ""invalideage""  #   And user submit the form","","Sat Aug 31 13:56:37 IST 2024","broken","Sat Aug 31 13:56:37 IST 2024","","retirement saving calculator page: Calculate retirement need with  using of invalid age credentials","",""
"","3","Then user sholud click Social Security benefits and choose maritial status","","Sat Aug 31 20:41:16 IST 2024","passed","Sat Aug 31 20:41:16 IST 2024","","retirement saving calculator page: Calculate retirement needs with maritial status and social security income","",""
"","273","Then user can able to see the error messages in current age and ritrement age filed","","Thu Aug 29 20:00:57 IST 2024","passed","Thu Aug 29 20:00:58 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","2988","Given User open the retirement calculator page","","Thu Aug 29 18:29:27 IST 2024","passed","Thu Aug 29 18:29:30 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","2783","When user should enter the retirement data ""45"", ""65"", ""400"", ""25000"", ""25"", ""6"", ""8""","","Thu Aug 29 18:29:18 IST 2024","passed","Thu Aug 29 18:29:20 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","3761","Given User open the retirement calculator page","","Sat Aug 31 20:33:28 IST 2024","passed","Sat Aug 31 20:33:32 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","1","hook:","","Thu Aug 29 20:00:38 IST 2024","failed","Thu Aug 29 20:00:38 IST 2024","","","",""
"","1410","When user should enter the ""user1""","","Thu Aug 29 21:13:28 IST 2024","passed","Thu Aug 29 21:13:29 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","1","And user sholud click Social Security benefits","","Fri Aug 30 16:59:47 IST 2024","broken","Fri Aug 30 16:59:47 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","10198","Given User open the retirement calculator page","","Thu Aug 29 20:00:30 IST 2024","passed","Thu Aug 29 20:00:40 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","1381","When user should enter the retirement data ""130"", ""200"", ""400"", ""25000"", ""25"", ""6"", ""8""","","Thu Aug 29 20:00:51 IST 2024","passed","Thu Aug 29 20:00:52 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","3","Then user should the enter the Social Security override amount","","Sat Aug 31 20:33:42 IST 2024","passed","Sat Aug 31 20:33:42 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status pepole","",""
"","107","And user submit the form","","Sat Aug 31 20:40:19 IST 2024","passed","Sat Aug 31 20:40:19 IST 2024","","retirement saving calculator page: Calculate retirement needs without maritial status and social security income","",""
"","2573","Then user should see the estimated retirement needs","","Thu Aug 29 20:00:44 IST 2024","passed","Thu Aug 29 20:00:47 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","1","hook:","","Sat Aug 31 20:33:37 IST 2024","failed","Sat Aug 31 20:33:37 IST 2024","","","",""
"","665","Given I am on the login page","","Thu Aug 29 20:00:36 IST 2024","passed","Thu Aug 29 20:00:37 IST 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","4","Then user should the enter the Social Security override amount","","Sat Aug 31 20:41:16 IST 2024","passed","Sat Aug 31 20:41:16 IST 2024","","retirement saving calculator page: Calculate retirement needs with maritial status and social security income","",""
"","79","When user should enter the ""unvalidUser""","","Thu Aug 29 21:01:34 IST 2024","broken","Thu Aug 29 21:01:34 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","2574","Then user should see the estimated retirement needs","","Thu Aug 29 18:29:25 IST 2024","passed","Thu Aug 29 18:29:27 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","3","Then user sholud click Social Security benefits and choose maritial status","","Sat Aug 31 20:33:42 IST 2024","passed","Sat Aug 31 20:33:42 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status pepole","",""
"","1313","And user submit the form","","Sat Aug 31 20:33:42 IST 2024","passed","Sat Aug 31 20:33:44 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status pepole","",""
"","7168","Given User open the retirement calculator page","","Thu Aug 29 18:29:11 IST 2024","passed","Thu Aug 29 18:29:18 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","1373","Then user should see the estimated retirement needs","","Sat Aug 31 20:41:18 IST 2024","passed","Sat Aug 31 20:41:19 IST 2024","","retirement saving calculator page: Calculate retirement needs with maritial status and social security income","",""
"","1857","When user should enter the ""validuser3""","","Sat Aug 31 20:33:40 IST 2024","passed","Sat Aug 31 20:33:42 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status pepole","",""
"","2","Then user sholud click Social Security benefits and choose maritial status","","Sat Aug 31 20:33:34 IST 2024","passed","Sat Aug 31 20:33:34 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","4952","When user should enter the retirement data ""currentAge"", ""retirementAge"", ""currentIncome"", ""spouseIncome"", ""retirementSavings"", ""contributionPercent""","","Thu Aug 29 16:16:23 IST 2024","passed","Thu Aug 29 16:16:28 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","66","Then I should see a flash message saying Your username is invalid!","","Thu Aug 29 20:00:38 IST 2024","passed","Thu Aug 29 20:00:38 IST 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","120","Then user can able to see the error messages in current age and ritrement age filed","","Sat Aug 31 20:40:51 IST 2024","passed","Sat Aug 31 20:40:51 IST 2024","","retirement saving calculator page: Calculate retirement need with  using of invalid age credentials","",""
"","1","When user should enter the ""invalideretireage""  #   And user submit the form","","Sat Aug 31 13:56:40 IST 2024","broken","Sat Aug 31 13:56:40 IST 2024","","retirement saving calculator page: Calculate retirement need with  using of invalid age credentials","",""
"","2934","Given User open the retirement calculator page","","Sat Aug 31 20:40:46 IST 2024","passed","Sat Aug 31 20:40:49 IST 2024","","retirement saving calculator page: Calculate retirement need with  using of invalid age credentials","",""
"","0","When user should enter the retirement data ""140"", ""160"", ""40000"", ""25000"", ""25"", ""6""","","Thu Aug 29 02:19:51 IST 2024","skipped","Thu Aug 29 02:19:51 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","98","Then I should see a flash message saying You logged into a secure area!","","Thu Aug 29 20:00:36 IST 2024","passed","Thu Aug 29 20:00:36 IST 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1307","And user submit the form","","Sat Aug 31 20:33:34 IST 2024","passed","Sat Aug 31 20:33:35 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","1865","When user should enter the ""validuser2""","","Sat Aug 31 20:41:14 IST 2024","passed","Sat Aug 31 20:41:16 IST 2024","","retirement saving calculator page: Calculate retirement needs with maritial status and social security income","",""
"","2167","When user should enter the retirement data ""130"", ""200"", ""400"", ""25000"", ""25"", ""6"", ""8""","","Thu Aug 29 18:29:30 IST 2024","passed","Thu Aug 29 18:29:32 IST 2024","","google page login: Calculate retirement needs with negative values","",""
"","1","hook:","","Sat Aug 31 20:40:51 IST 2024","failed","Sat Aug 31 20:40:51 IST 2024","","","",""
"","1301","When user should enter the retirement data ""45"", ""65"", ""400"", ""25000"", ""25"", ""6"", ""8""","","Thu Aug 29 20:00:40 IST 2024","passed","Thu Aug 29 20:00:41 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","32","When user should enter the ""invalidcurrentage""","","Fri Aug 30 00:31:07 IST 2024","broken","Fri Aug 30 00:31:07 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","47981","Given User open the retirement calculator page","","Sat Aug 31 20:39:29 IST 2024","passed","Sat Aug 31 20:40:17 IST 2024","","retirement saving calculator page: Calculate retirement needs without maritial status and social security income","",""
"","3","When user should enter the retirement data ""45"", ""65"", ""400"", ""25000"", ""<retirementSavings>"", ""6"", ""8""","","Thu Aug 29 17:57:36 IST 2024","broken","Thu Aug 29 17:57:36 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","2151","When user should enter the ""validuser2""","","Sat Aug 31 20:33:32 IST 2024","passed","Sat Aug 31 20:33:34 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","121","And user submit the form","","Sat Aug 31 20:40:51 IST 2024","passed","Sat Aug 31 20:40:51 IST 2024","","retirement saving calculator page: Calculate retirement need with  using of invalid age credentials","",""
"","1298","And user submit the form","","Sat Aug 31 20:41:16 IST 2024","passed","Sat Aug 31 20:41:18 IST 2024","","retirement saving calculator page: Calculate retirement needs with maritial status and social security income","",""
"","10456","Then user can able to see the error messages in current age and ritrement age filed","","Fri Aug 30 00:11:17 IST 2024","failed","Fri Aug 30 00:11:28 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","5","hook:","","Sat Aug 31 20:33:16 IST 2024","failed","Sat Aug 31 20:33:16 IST 2024","","","",""
"","807","When I login with foobar and barfoo","","Thu Aug 29 20:00:37 IST 2024","passed","Thu Aug 29 20:00:38 IST 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","3223","And user submit the form","","Thu Aug 29 20:00:41 IST 2024","passed","Thu Aug 29 20:00:44 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","2092","When user should enter the ""validuser1""","","Sat Aug 31 20:33:14 IST 2024","passed","Sat Aug 31 20:33:16 IST 2024","","retirement saving calculator page: Calculate retirement needs without social security income","",""
"","1410","When user should enter the retirement data ""45"", ""65"", ""<currentIncome>"", ""25000"", ""25"", ""6""","","Thu Aug 29 17:38:47 IST 2024","passed","Thu Aug 29 17:38:48 IST 2024","","google page login: Calculate retirement needs with positive values","",""
"","2153","When user should enter the ""invalideretireage""","","Sat Aug 31 20:40:49 IST 2024","passed","Sat Aug 31 20:40:51 IST 2024","","retirement saving calculator page: Calculate retirement need with  using of invalid age credentials","",""
"","1448","Then user should see the estimated retirement needs","","Sat Aug 31 20:33:35 IST 2024","passed","Sat Aug 31 20:33:37 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
"","1501","And user submit the form","","Sat Aug 31 20:41:24 IST 2024","passed","Sat Aug 31 20:41:25 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status people","",""
"","1412","Then user should see the estimated retirement needs","","Sat Aug 31 20:33:44 IST 2024","passed","Sat Aug 31 20:33:45 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status pepole","",""
"","1842","When user should enter the ""invalideage""","","Sat Aug 31 20:40:44 IST 2024","passed","Sat Aug 31 20:40:45 IST 2024","","retirement saving calculator page: Calculate retirement need with  using of invalid age credentials","",""
"","3","hook:","","Sat Aug 31 20:40:19 IST 2024","failed","Sat Aug 31 20:40:19 IST 2024","","","",""
"","2","When user should enter the ""validuser1""  #   And user submit the form","","Fri Aug 30 16:03:27 IST 2024","broken","Fri Aug 30 16:03:27 IST 2024","","retirement saving calculator page: Calculate retirement needs without social security income","",""
"","4","Then user sholud click Social Security benefits and choose maritial status","","Sat Aug 31 20:41:24 IST 2024","passed","Sat Aug 31 20:41:24 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status people","",""
"","91","Then user should see the estimated retirement needs","","Sat Aug 31 20:40:19 IST 2024","passed","Sat Aug 31 20:40:19 IST 2024","","retirement saving calculator page: Calculate retirement needs without maritial status and social security income","",""
"","98","And user submit the form","","Sat Aug 31 20:33:16 IST 2024","passed","Sat Aug 31 20:33:16 IST 2024","","retirement saving calculator page: Calculate retirement needs without social security income","",""
"","1","hook:","","Thu Aug 29 20:00:58 IST 2024","failed","Thu Aug 29 20:00:58 IST 2024","","","",""
"","3677","Given User open the retirement calculator page","","Sat Aug 31 20:33:37 IST 2024","passed","Sat Aug 31 20:33:40 IST 2024","","retirement saving calculator page: Calculate retirement needs single maritial status pepole","",""
"","3050","When user should enter the ""invalideretireage""","","Fri Aug 30 00:11:06 IST 2024","passed","Fri Aug 30 00:11:09 IST 2024","","retirement saving calculator page: Calculate retirement needs with data sheet values","",""
